Time,DM,Time,DX,Time,DY,Time,DZ,Time,(null),Time,YAW,Time,PITCH,Time,ROLL
0,583.095,0,0,0,-300,0,500,0,0,0,0,0,0,0,0
0.1,583.095,0.1,0,0.1,-300,0.1,500,0.1,0,0.1,0,0.1,0,0.1,0
0.2,583.095,0.2,0,0.2,-300,0.2,500,0.2,0,0.2,0,0.2,0,0.2,0
0.3,583.095,0.3,0,0.3,-300,0.3,500,0.3,0,0.3,0,0.3,0,0.3,0
0.4,583.095,0.4,0,0.4,-300,0.4,500,0.4,0,0.4,0,0.4,0,0.4,0
0.5,583.095,0.5,0,0.5,-300,0.5,500,0.5,0,0.5,0,0.5,0,0.5,0
0.6,583.095,0.6,0,0.6,-300,0.6,500,0.6,0,0.6,0,0.6,0,0.6,0
0.7,583.095,0.7,0,0.7,-300,0.7,500,0.7,0,0.7,0,0.7,0,0.7,0
0.8,583.095,0.8,0,0.8,-300,0.8,500,0.8,0,0.8,0,0.8,0,0.8,0
0.9,583.095,0.9,0,0.9,-300,0.9,500,0.9,0,0.9,0,0.9,0,0.9,0
1,583.095,1,0,1,-300,1,500,1,0,1,0,1,0,1,0
1.1,583.095,1.1,0,1.1,-300,1.1,500,1.1,0,1.1,0,1.1,0,1.1,0
1.2,583.095,1.2,0,1.2,-300,1.2,500,1.2,0,1.2,0,1.2,0,1.2,0
1.3,583.095,1.3,0,1.3,-300,1.3,500,1.3,0,1.3,0,1.3,0,1.3,0
1.4,583.095,1.4,0,1.4,-300,1.4,500,1.4,0,1.4,0,1.4,0,1.4,0
1.5,583.095,1.5,0,1.5,-300,1.5,500,1.5,0,1.5,0,1.5,0,1.5,0
1.6,583.095,1.6,0,1.6,-300,1.6,500,1.6,0,1.6,0,1.6,0,1.6,0
1.7,583.095,1.7,0,1.7,-300,1.7,500,1.7,0,1.7,0,1.7,0,1.7,0
1.8,583.095,1.8,0,1.8,-300,1.8,500,1.8,0,1.8,0,1.8,0,1.8,0
1.9,583.095,1.9,0,1.9,-300,1.9,500,1.9,0,1.9,0,1.9,0,1.9,0
2,583.095,2,0,2,-300,2,500,2,0,2,0,2,0,2,0
2.1,582.257,2.1,0,2.1,-300,2.1,499.022,2.1,0,2.1,0,2.1,0,2.1,0
2.2,579.821,2.2,0,2.2,-300,2.2,496.178,2.2,0,2.2,0,2.2,0,2.2,0
2.3,575.908,2.3,0,2.3,-300,2.3,491.6,2.3,0,2.3,0,2.3,0,2.3,0
2.4,570.644,2.4,0,2.4,-300,2.4,485.422,2.4,0,2.4,0,2.4,0,2.4,0
2.5,564.156,2.5,0,2.5,-300,2.5,477.778,2.5,0,2.5,0,2.5,0,2.5,0
2.6,556.573,2.6,0,2.6,-300,2.6,468.8,2.6,0,2.6,0,2.6,0,2.6,0
2.7,548.028,2.7,0,2.7,-300,2.7,458.622,2.7,0,2.7,3.69622e-35,2.7,0,2.7,0
2.8,538.653,2.8,0,2.8,-300,2.8,447.378,2.8,0,2.8,3.69622e-35,2.8,0,2.8,0
2.9,528.582,2.9,0,2.9,-300,2.9,435.2,2.9,0,2.9,3.69622e-35,2.9,0,2.9,0
3,517.949,3,0,3,-300,3,422.222,3,0,3,3.69622e-35,3,0,3,0
3.1,506.888,3.1,0,3.1,-300,3.1,408.578,3.1,0,3.1,3.69622e-35,3.1,0,3.1,0
3.2,495.531,3.2,0,3.2,-300,3.2,394.4,3.2,0,3.2,3.69622e-35,3.2,0,3.2,0
3.3,484.009,3.3,0,3.3,-300,3.3,379.822,3.3,0,3.3,3.69622e-35,3.3,0,3.3,0
3.4,472.45,3.4,0,3.4,-300,3.4,364.978,3.4,0,3.4,3.69622e-35,3.4,0,3.4,0
3.5,460.977,3.5,0,3.5,-300,3.5,350,3.5,0,3.5,3.69622e-35,3.5,0,3.5,0
3.6,449.711,3.6,0,3.6,-300,3.6,335.022,3.6,0,3.6,3.69622e-35,3.6,0,3.6,0
3.7,438.764,3.7,0,3.7,-300,3.7,320.178,3.7,0,3.7,3.69622e-35,3.7,0,3.7,0
3.8,428.242,3.8,0,3.8,-300,3.8,305.6,3.8,0,3.8,3.69622e-35,3.8,0,3.8,0
3.9,418.243,3.9,0,3.9,-300,3.9,291.422,3.9,0,3.9,3.69622e-35,3.9,0,3.9,0
4,408.853,4,0,4,-300,4,277.778,4,0,4,3.69622e-35,4,0,4,0
4.1,400.149,4.1,0,4.1,-300,4.1,264.8,4.1,0,4.1,3.69622e-35,4.1,0,4.1,0
4.2,392.196,4.2,0,4.2,-300,4.2,252.622,4.2,0,4.2,3.69622e-35,4.2,0,4.2,0
4.3,385.05,4.3,0,4.3,-300,4.3,241.378,4.3,0,4.3,3.69622e-35,4.3,0,4.3,0
4.4,378.752,4.4,0,4.4,-300,4.4,231.2,4.4,0,4.4,3.69622e-35,4.4,0,4.4,0
4.5,373.34,4.5,0,4.5,-300,4.5,222.222,4.5,0,4.5,3.69622e-35,4.5,0,4.5,0
4.6,368.841,4.6,0,4.6,-300,4.6,214.578,4.6,0,4.6,3.69622e-35,4.6,0,4.6,0
4.7,365.281,4.7,0,4.7,-300,4.7,208.4,4.7,0,4.7,3.69622e-35,4.7,0,4.7,0
4.8,362.689,4.8,0,4.8,-300,4.8,203.822,4.8,0,4.8,3.69622e-35,4.8,0,4.8,0
4.9,361.098,4.9,0,4.9,-300,4.9,200.978,4.9,0,4.9,3.69622e-35,4.9,0,4.9,0
5,360.555,5,0,5,-300,5,200,5,0,5,3.69622e-35,5,0,5,0
