Time,FM,Time,FX,Time,FY,Time,FZ,Time,TM,Time,TX,Time,TY,Time,TZ
0,0.00981,0,0,0,0,0,0.00981,0,0,0,0,0,0,0,0
0.1,0.00981,0.1,0,0.1,0,0.1,0.00981,0.1,0,0.1,0,0.1,0,0.1,0
0.2,0.00981,0.2,0,0.2,0,0.2,0.00981,0.2,0,0.2,0,0.2,0,0.2,0
0.3,0.00981,0.3,0,0.3,0,0.3,0.00981,0.3,0,0.3,0,0.3,0,0.3,0
0.4,0.00981,0.4,0,0.4,0,0.4,0.00981,0.4,0,0.4,0,0.4,0,0.4,0
0.5,0.00981,0.5,0,0.5,0,0.5,0.00981,0.5,0,0.5,0,0.5,0,0.5,0
0.6,0.00981,0.6,0,0.6,0,0.6,0.00981,0.6,0,0.6,0,0.6,0,0.6,0
0.7,0.00981,0.7,0,0.7,0,0.7,0.00981,0.7,0,0.7,0,0.7,0,0.7,0
0.8,0.00981,0.8,0,0.8,0,0.8,0.00981,0.8,0,0.8,0,0.8,0,0.8,0
0.9,0.00981,0.9,0,0.9,0,0.9,0.00981,0.9,0,0.9,0,0.9,0,0.9,0
1,0.00981,1,0,1,0,1,0.00981,1,0,1,0,1,0,1,0
1.1,0.00981,1.1,0,1.1,0,1.1,0.00981,1.1,0,1.1,0,1.1,0,1.1,0
1.2,0.00981,1.2,0,1.2,0,1.2,0.00981,1.2,0,1.2,0,1.2,0,1.2,0
1.3,0.00981,1.3,0,1.3,0,1.3,0.00981,1.3,0,1.3,0,1.3,0,1.3,0
1.4,0.00981,1.4,0,1.4,0,1.4,0.00981,1.4,0,1.4,0,1.4,0,1.4,0
1.5,0.00981,1.5,0,1.5,0,1.5,0.00981,1.5,0,1.5,0,1.5,0,1.5,0
1.6,0.00981,1.6,0,1.6,0,1.6,0.00981,1.6,0,1.6,0,1.6,0,1.6,0
1.7,0.00981,1.7,0,1.7,0,1.7,0.00981,1.7,0,1.7,0,1.7,0,1.7,0
1.8,0.00981,1.8,0,1.8,0,1.8,0.00981,1.8,0,1.8,0,1.8,0,1.8,0
1.9,0.00981,1.9,0,1.9,0,1.9,0.00981,1.9,0,1.9,0,1.9,0,1.9,0
2,0.00961,2,0,2,0,2,0.00961,2,0,2,0,2,0,2,0
2.1,0.00962333,2.1,0,2.1,0,2.1,0.00962333,2.1,0,2.1,0,2.1,0,2.1,0
2.2,0.00963667,2.2,0,2.2,0,2.2,0.00963667,2.2,0,2.2,0,2.2,0,2.2,0
2.3,0.00965,2.3,0,2.3,0,2.3,0.00965,2.3,0,2.3,0,2.3,0,2.3,0
2.4,0.00966333,2.4,0,2.4,0,2.4,0.00966333,2.4,0,2.4,0,2.4,0,2.4,0
2.5,0.00967667,2.5,0,2.5,0,2.5,0.00967667,2.5,0,2.5,0,2.5,0,2.5,0
2.6,0.00969,2.6,0,2.6,-0,2.6,0.00969,2.6,1.61559e-35,2.6,0,2.6,0,2.6,1.61559e-35
2.7,0.00970333,2.7,0,2.7,0,2.7,0.00970333,2.7,0,2.7,0,2.7,0,2.7,0
2.8,0.00971667,2.8,0,2.8,0,2.8,0.00971667,2.8,0,2.8,0,2.8,0,2.8,0
2.9,0.00973,2.9,0,2.9,0,2.9,0.00973,2.9,0,2.9,0,2.9,0,2.9,0
3,0.00974333,3,0,3,0,3,0.00974333,3,0,3,0,3,0,3,0
3.1,0.00975667,3.1,0,3.1,0,3.1,0.00975667,3.1,0,3.1,0,3.1,0,3.1,0
3.2,0.00977,3.2,0,3.2,0,3.2,0.00977,3.2,0,3.2,0,3.2,0,3.2,0
3.3,0.00978333,3.3,0,3.3,0,3.3,0.00978333,3.3,0,3.3,0,3.3,0,3.3,0
3.4,0.00979667,3.4,0,3.4,0,3.4,0.00979667,3.4,0,3.4,0,3.4,0,3.4,0
3.5,0.00981,3.5,0,3.5,0,3.5,0.00981,3.5,1.42799e-32,3.5,1.00974e-32,3.5,-1.00974e-32,3.5,0
3.6,0.00982333,3.6,0,3.6,0,3.6,0.00982333,3.6,0,3.6,0,3.6,0,3.6,0
3.7,0.00983667,3.7,0,3.7,0,3.7,0.00983667,3.7,0,3.7,0,3.7,0,3.7,0
3.8,0.00985,3.8,0,3.8,0,3.8,0.00985,3.8,0,3.8,0,3.8,0,3.8,0
3.9,0.00986333,3.9,0,3.9,0,3.9,0.00986333,3.9,0,3.9,0,3.9,0,3.9,0
4,0.00987667,4,0,4,0,4,0.00987667,4,0,4,0,4,0,4,0
4.1,0.00989,4.1,0,4.1,0,4.1,0.00989,4.1,0,4.1,0,4.1,0,4.1,0
4.2,0.00990333,4.2,0,4.2,0,4.2,0.00990333,4.2,0,4.2,0,4.2,0,4.2,0
4.3,0.00991667,4.3,0,4.3,0,4.3,0.00991667,4.3,2.51215e-19,4.3,-1.77636e-19,4.3,1.77636e-19,4.3,2.95823e-35
4.4,0.00993,4.4,0,4.4,-0,4.4,0.00993,4.4,1.61559e-35,4.4,0,4.4,0,4.4,1.61559e-35
4.5,0.00994333,4.5,0,4.5,0,4.5,0.00994333,4.5,0,4.5,0,4.5,0,4.5,0
4.6,0.00995667,4.6,0,4.6,0,4.6,0.00995667,4.6,0,4.6,0,4.6,0,4.6,0
4.7,0.00997,4.7,0,4.7,0,4.7,0.00997,4.7,0,4.7,0,4.7,0,4.7,0
4.8,0.00998333,4.8,0,4.8,0,4.8,0.00998333,4.8,0,4.8,0,4.8,0,4.8,0
4.9,0.00999667,4.9,0,4.9,0,4.9,0.00999667,4.9,0,4.9,0,4.9,0,4.9,0
5,0.00981,5,0,5,0,5,0.00981,5,0,5,0,5,0,5,0
