Time,f2,Time,f3,Time,f4,Time,f6,Time,f7,Time,f8,Time,MAG,Time,RMAG
0,0,0,0,0,0,0,1.7313,0,0,0,0,0,0,0,1.7313
0,0,0,0,0,0,0,1.7313,0,0,0,0,0,0,0,1.7313
0.1,554.669,0.1,0,0.1,0,0.1,1.7313,0.1,0,0.1,0,0.1,554.669,0.1,1.7313
0.2,1108.85,0.2,0,0.2,0,0.2,1.7313,0.2,0,0.2,0,0.2,1108.85,0.2,1.7313
0.3,1662.6,0.3,0,0.3,0,0.3,1.7313,0.3,0,0.3,0,0.3,1662.6,0.3,1.7313
0.4,2215.91,0.4,0,0.4,0,0.4,1.7313,0.4,0,0.4,0,0.4,2215.91,0.4,1.7313
0.5,2768.76,0.5,0,0.5,0,0.5,1.7313,0.5,0,0.5,0,0.5,2768.76,0.5,1.7313
0.6,3321.18,0.6,0,0.6,0,0.6,1.7313,0.6,0,0.6,0,0.6,3321.18,0.6,1.7313
0.7,3873.14,0.7,1.05209e-07,0.7,0,0.7,1.7313,0.7,0,0.7,0,0.7,3873.14,0.7,1.7313
0.8,4424.66,0.8,1.22426e-07,0.8,0,0.8,1.7313,0.8,0,0.8,0,0.8,4424.66,0.8,1.7313
0.9,4975.74,0.9,1.36335e-07,0.9,0,0.9,1.7313,0.9,0,0.9,0,0.9,4975.74,0.9,1.7313
1,5526.37,1,1.61046e-07,1,0,1,1.7313,1,0,1,0,1,5526.37,1,1.7313
1.1,6076.55,1.1,1.74843e-07,1.1,0,1.1,1.7313,1.1,0,1.1,0,1.1,6076.55,1.1,1.7313
1.2,6626.29,1.2,1.94797e-07,1.2,0,1.2,1.7313,1.2,0,1.2,0,1.2,6626.29,1.2,1.7313
1.3,7175.58,1.3,2.17668e-07,1.3,0,1.3,1.7313,1.3,0,1.3,0,1.3,7175.58,1.3,1.7313
1.4,7724.43,1.4,2.31194e-07,1.4,0,1.4,1.7313,1.4,0,1.4,0,1.4,7724.43,1.4,1.7313
1.5,8272.83,1.5,2.56712e-07,1.5,0,1.5,1.7313,1.5,0,1.5,0,1.5,8272.83,1.5,1.7313
1.6,8820.78,1.6,2.74771e-07,1.6,0,1.6,1.7313,1.6,0,1.6,0,1.6,8820.78,1.6,1.7313
1.7,9368.29,1.7,2.92429e-07,1.7,0,1.7,1.7313,1.7,0,1.7,0,1.7,9368.29,1.7,1.7313
1.8,9915.35,1.8,3.19042e-07,1.8,0,1.8,1.7313,1.8,0,1.8,0,1.8,9915.35,1.8,1.7313
1.9,10462,1.9,3.33582e-07,1.9,0,1.9,1.7313,1.9,0,1.9,0,1.9,10462,1.9,1.7313
2,11008.1,2,3.57148e-07,2,0,2,1.7313,2,0,2,0,2,11008.1,2,1.7313
