Time,f2,Time,f3,Time,f4,Time,f6,Time,f7,Time,f8,Time,MAG,Time,RMAG
0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
0,-0.276082,0,0,0,0,0,0,0,0,0,0,0,0.276082,0,0
0.1,-0.0126583,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.0126583,0.1,0
0.2,0.0254643,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0.0254643,0.2,0
0.3,-0.00814568,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.00814568,0.3,0
0.4,-0.00300807,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0,0.4,0.00300807,0.4,0
0.5,-0.000968499,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.000968499,0.5,0
0.6,-0.00203972,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0.00203972,0.6,0
0.7,-0.00195994,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0,0.7,0.00195994,0.7,0
0.8,-0.00187186,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0.00187186,0.8,0
0.9,-0.00190376,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.00190376,0.9,0
1,-0.0019042,1,0,1,0,1,0,1,0,1,0,1,0.0019042,1,0
1.1,-0.0019008,1.1,0,1.1,0,1.1,0,1.1,0,1.1,0,1.1,0.0019008,1.1,0
1.2,-0.00190168,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0,1.2,0.00190168,1.2,0
1.3,-0.00190179,1.3,0,1.3,0,1.3,0,1.3,0,1.3,0,1.3,0.00190179,1.3,0
1.4,-0.00190167,1.4,0,1.4,0,1.4,0,1.4,0,1.4,0,1.4,0.00190167,1.4,0
1.5,-0.00190169,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0.00190169,1.5,0
1.6,-0.0019017,1.6,0,1.6,0,1.6,0,1.6,0,1.6,0,1.6,0.0019017,1.6,0
1.7,-0.00190169,1.7,0,1.7,0,1.7,0,1.7,0,1.7,0,1.7,0.00190169,1.7,0
1.8,-0.00190169,1.8,0,1.8,0,1.8,0,1.8,0,1.8,0,1.8,0.00190169,1.8,0
1.9,-0.00190169,1.9,0,1.9,0,1.9,0,1.9,0,1.9,0,1.9,0.00190169,1.9,0
2,-0.00190169,2,0,2,0,2,0,2,0,2,0,2,0.00190169,2,0
