Time,f2,Time,f3,Time,f4,Time,f6,Time,f7,Time,f8,Time,MAG,Time,RMAG
0,312.634,0,0,0,0,0,0,0,0,0,0,0,312.634,0,0
0,312.634,0,17.7211,0,17.7701,0,0,0,0,0,0,0,313.64,0,0
0.1,312.634,0.1,17.7324,0.1,17.7347,0.1,0,0.1,0,0.1,0,0.1,313.638,0.1,0
0.2,312.634,0.2,17.7218,0.2,17.7173,0.2,0,0.2,0,0.2,0,0.2,313.637,0.2,0
0.3,312.634,0.3,17.7043,0.3,17.7058,0.3,0,0.3,0,0.3,0,0.3,313.635,0.3,0
0.4,312.634,0.4,17.6906,0.4,17.6911,0.4,0,0.4,0,0.4,0,0.4,313.633,0.4,0
0.5,312.634,0.5,17.6765,0.5,17.6767,0.5,0,0.5,0,0.5,0,0.5,313.632,0.5,0
0.6,312.634,0.6,17.6621,0.6,17.6625,0.6,0,0.6,0,0.6,0,0.6,313.63,0.6,0
0.7,312.634,0.7,17.6479,0.7,17.6482,0.7,0,0.7,0,0.7,0,0.7,313.629,0.7,0
0.8,312.634,0.8,17.6336,0.8,17.634,0.8,0,0.8,0,0.8,0,0.8,313.627,0.8,0
0.9,312.634,0.9,17.6194,0.9,17.6197,0.9,0,0.9,0,0.9,0,0.9,313.625,0.9,0
1,312.634,1,17.6051,1,17.6054,1,0,1,0,1,0,1,313.624,1,0
1.1,312.634,1.1,17.5908,1.1,17.5912,1.1,0,1.1,0,1.1,0,1.1,313.622,1.1,0
1.2,312.634,1.2,17.5766,1.2,17.5769,1.2,0,1.2,0,1.2,0,1.2,313.621,1.2,0
1.3,312.634,1.3,17.5623,1.3,17.5627,1.3,0,1.3,0,1.3,0,1.3,313.619,1.3,0
1.4,312.634,1.4,17.5481,1.4,17.5484,1.4,0,1.4,0,1.4,0,1.4,313.617,1.4,0
1.5,312.634,1.5,17.5338,1.5,17.5341,1.5,0,1.5,0,1.5,0,1.5,313.616,1.5,0
1.6,312.634,1.6,17.5195,1.6,17.5199,1.6,0,1.6,0,1.6,0,1.6,313.614,1.6,0
1.7,312.634,1.7,17.5053,1.7,17.5056,1.7,0,1.7,0,1.7,0,1.7,313.613,1.7,0
1.8,312.634,1.8,17.491,1.8,17.4913,1.8,0,1.8,0,1.8,0,1.8,313.611,1.8,0
1.9,312.634,1.9,17.4768,1.9,17.4771,1.9,0,1.9,0,1.9,0,1.9,313.609,1.9,0
2,312.634,2,17.4625,2,17.4628,2,0,2,0,2,0,2,313.608,2,0
