Time,f2,Time,f3,Time,f4,Time,f6,Time,f7,Time,f8,Time,MAG,Time,RMAG
0,0,0,0,0,362.97,0,0,0,0,0,0,0,362.97,0,0
0,0,0,0,0,362.97,0,0,0,-943.722,0,0,0,362.97,0,943.722
0.1,-13.928,0.1,-1.82911e-08,0.1,362.97,0.1,2.26811e-06,0.1,-943.722,0.1,2.93722e-06,0.1,363.237,0.1,943.722
0.2,-0.151541,0.2,1.25631e-07,0.2,362.97,0.2,1.74021e-07,0.2,-943.722,0.2,-1.22353e-06,0.2,362.97,0.2,943.722
0.3,-0.806837,0.3,1.82769e-09,0.3,362.97,0.3,8.22692e-07,0.3,-943.722,0.3,1.71382e-06,0.3,362.971,0.3,943.722
0.4,-2.02768,0.4,0,0.4,362.97,0.4,1.72802e-06,0.4,-943.722,0.4,9.78405e-07,0.4,362.976,0.4,943.722
0.5,-1.63395,0.5,0,0.5,362.97,0.5,-5.30186e-07,0.5,-943.722,0.5,-3.46625e-07,0.5,362.974,0.5,943.722
0.6,-1.6154,0.6,0,0.6,362.97,0.6,1.83261e-06,0.6,-943.722,0.6,1.54283e-06,0.6,362.974,0.6,943.722
0.7,-1.66051,0.7,0,0.7,362.97,0.7,2.87165e-07,0.7,-943.722,0.7,4.50959e-07,0.7,362.974,0.7,943.722
0.8,-1.65027,0.8,0,0.8,362.97,0.8,1.60864e-08,0.8,-943.722,0.8,-3.98206e-07,0.8,362.974,0.8,943.722
0.9,-1.64841,0.9,0,0.9,362.97,0.9,1.84412e-06,0.9,-943.722,0.9,2.18855e-06,0.9,362.974,0.9,943.722
1,-1.64996,1,0,1,362.97,1,-7.17591e-07,1,-943.722,1,-1.14593e-06,1,362.974,1,943.722
1.1,-1.64973,1.1,0,1.1,362.97,1.1,1.04706e-06,1.1,-943.722,1.1,1.0659e-06,1.1,362.974,1.1,943.722
1.2,-1.64964,1.2,0,1.2,362.97,1.2,8.7237e-07,1.2,-943.722,1.2,9.90585e-07,1.2,362.974,1.2,943.722
1.3,-1.64969,1.3,0,1.3,362.97,1.3,-7.23184e-07,1.3,-943.722,1.3,-1.144e-06,1.3,362.974,1.3,943.722
1.4,-1.64968,1.4,0,1.4,362.97,1.4,1.70198e-06,1.4,-943.722,1.4,1.98668e-06,1.4,362.974,1.4,943.722
1.5,-1.64968,1.5,0,1.5,362.97,1.5,-4.27613e-07,1.5,-943.722,1.5,-6.34409e-07,1.5,362.974,1.5,943.722
1.6,-1.64968,1.6,0,1.6,362.97,1.6,1.45415e-07,1.6,-943.722,1.6,0,1.6,362.974,1.6,943.722
1.7,-1.64968,1.7,0,1.7,362.97,1.7,1.3791e-06,1.7,-943.722,1.7,1.6727e-06,1.7,362.974,1.7,943.722
1.8,-1.64968,1.8,0,1.8,362.97,1.8,-1.11488e-06,1.8,-943.722,1.8,-1.51574e-06,1.8,362.974,1.8,943.722
1.9,-1.64968,1.9,0,1.9,362.97,1.9,1.19146e-06,1.9,-943.722,1.9,1.34456e-06,1.9,362.974,1.9,943.722
2,-1.64968,2,0,2,362.97,2,3.16256e-07,2,-943.722,2,3.5945e-07,2,362.974,2,943.722
