Time,f2,f3,f4,f6,f7,f8
0,0,0,362.97,0,0,0
0,0,0,362.97,0,-943.722,0
0.1,-13.928,-1.16E-07,362.97,-3.26E-05,3410.64,2.88927e-06
0.2,-0.151541,1.30467e-07,362.97,3.89927e-05,-896.345,-1.23E-06
0.3,-0.806837,-1.64E-08,362.97,-2.95E-05,-691.477,1.69643e-06
0.4,-2.02768,0,362.97,1.26594e-05,-309.799,9.41878e-07
0.5,-1.63395,0,362.97,-2.58E-06,-432.893,-3.35E-07
0.6,-1.6154,0,362.97,-9.17E-07,-438.694,1.50409e-06
0.7,-1.66051,0,362.97,-6.11E-06,-424.591,4.44889e-07
0.8,-1.65027,0,362.97,1.33252e-05,-427.79,-4.00E-07
0.9,-1.64841,0,362.97,-1.91E-05,-428.372,2.14957e-06
1,-1.64996,0,362.97,1.58055e-05,-427.887,-1.13E-06
1.1,-1.64973,0,362.97,-5.78E-06,-427.959,1.04377e-06
1.2,-1.64964,0,362.97,-7.74E-06,-427.989,9.72144e-07
1.3,-1.64969,0,362.97,1.56191e-05,-427.974,-1.13E-06
1.4,-1.64968,0,362.97,-1.66E-05,-427.975,1.9507e-06
1.5,-1.64968,0,362.97,8.03731e-06,-427.976,-6.25E-07
1.6,-1.64968,0,362.97,4.573e-06,-427.975,0
1.7,-1.64968,0,362.97,-1.53E-05,-427.975,1.64355e-06
1.8,-1.64968,0,362.97,1.70127e-05,-427.976,-1.49E-06
1.9,-1.64968,0,362.97,-1.03E-05,-427.975,1.31938e-06
2,-1.64968,0,362.97,-2.82E-06,-427.975,3.52765e-07
