Time,X,Time,Y,Time,Z,Time,RX,Time,RY,Time,RZ
0,0,0,0,0,0,0,0,0,0,0,0
0,5555.56,0,0,0,0,0,0,0,17.7211,0,0
0.1,5544.46,0.1,2.49376e-07,0.1,0,0.1,2.90627e-10,0.1,17.7324,0.1,0
0.2,5539.05,0.2,3.93049e-08,0.2,0,0.2,-8.32327e-10,0.2,17.7218,0.2,-5.4716e-10
0.3,5535.43,0.3,2.35899e-07,0.3,0,0.3,-2.87555e-10,0.3,17.7043,0.3,-4.09757e-10
0.4,5530.84,0.4,1.04179e-07,0.4,0,0.4,-5.32554e-10,0.4,17.6906,0.4,0
0.5,5526.33,0.5,1.68448e-07,0.5,0,0.5,-4.91559e-10,0.5,17.6765,0.5,-6.75228e-10
0.6,5521.9,0.6,2.00355e-07,0.6,0,0.6,-5.30128e-10,0.6,17.6621,0.6,0
0.7,5517.44,0.7,1.16185e-07,0.7,0,0.7,-4.94088e-10,0.7,17.6479,0.7,-3.17202e-10
0.8,5512.98,0.8,2.23665e-07,0.8,0,0.8,-5.98006e-10,0.8,17.6336,0.8,-4.36964e-10
0.9,5508.52,0.9,1.64923e-07,0.9,0,0.9,-5.32373e-10,0.9,17.6194,0.9,1.3566e-10
1,5504.06,1,1.57613e-07,1,0,1,-5.66393e-10,1,17.6051,1,-5.16978e-10
1.1,5499.61,1.1,2.39221e-07,1.1,0,1.1,-6.41082e-10,1.1,17.5908,1.1,0
1.2,5495.15,1.2,1.41191e-07,1.2,0,1.2,-5.32456e-10,1.2,17.5766,1.2,0
1.3,5490.69,1.3,2.14893e-07,1.3,0,1.3,-6.64179e-10,1.3,17.5623,1.3,-5.01e-10
1.4,5486.23,1.4,2.15313e-07,1.4,0,1.4,-6.0518e-10,1.4,17.5481,1.4,2.11164e-10
1.5,5481.77,1.5,1.48861e-07,1.5,0,1.5,-5.97133e-10,1.5,17.5338,1.5,-3.15808e-10
1.6,5477.31,1.6,2.55992e-07,1.6,0,1.6,-7.02268e-10,1.6,17.5195,1.6,-2.04625e-10
1.7,5472.85,1.7,1.74059e-07,1.7,0,1.7,-5.86813e-10,1.7,17.5053,1.7,1.92088e-10
1.8,5468.4,1.8,1.92265e-07,1.8,0,1.8,-6.7197e-10,1.8,17.491,1.8,-4.98481e-10
1.9,5463.94,1.9,2.55334e-07,1.9,0,1.9,-6.85157e-10,1.9,17.4768,1.9,1.24285e-10
2,5459.48,2,1.52417e-07,2,0,2,-6.0306e-10,2,17.4625,2,0
