file_name,folder,model_type,side,sub_category_1,sub_category_2
sys_aero.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Aerodynamics,Aerodynamics,,Aerodynamics,
sys_aero_2_axle.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Aerodynamics,Aerodynamics,,Aerodynamics,
sys_aero_point.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Aerodynamics,Aerodynamics,,Aerodynamics,
Battery_pack.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Battery,Battery,,Battery,
body1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Body,Body,,Body,
body2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Body,Body,,Body,
diff_lock_vel_based.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Diff_lock,Driveline,,Differential lock,
indep1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Front\Axle,Driveline,Front,Axle,
indep2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Front\Axle,Driveline,Front,Axle,
live_axle.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Front\Axle,Driveline,Front,Axle,
driveshaft1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Front\Driveshaft,Driveline,Front,Drive shaft,
indep.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Rear\Axle,Driveline,Rear,Axle,
live_axle.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Rear\Axle,Driveline,Rear,Axle,
driveshaft1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Rear\Driveshaft,Driveline,Rear,Drive shaft,
transfer1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Transfer,Driveline,,Transfer Case,
transfer2.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Transfer,Driveline,,Transfer Case,
transfer_case_ctr_diff.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Driveline\Transfer,Driveline,,Transfer Case,
Sedan_1.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\FullCar,ExampleModel,,Car,Full Car
Pickup_Truck.mdl,C:/Altair_Installs/2026_0_10_release/hwdesktop/hw/mdl/mdllib/Libs/Models\Examples\PickupTruck,ExampleModel,,Truck,Pick up truck
